VerticeArr,EdgeArr,TimeAdjMatrix,TimeAdjList,
100,103,248,72,
100,111,155,54,
100,113,685,164,
100,117,587,137,
100,117,221,75,
100,120,401,121,
100,122,2914,607,
100,127,339,101,
100,131,1155,243,
100,132,2388,493,
100,134,166,58,
100,135,326,92,
100,139,5928,1300,
100,141,197,67,
100,142,229,69,
100,146,1150,234,
100,149,222,77,
100,161,196,67,
100,164,4748,1276,
100,177,7787,2100,
100,178,4496,895,
100,181,7754,1972,
100,182,7673,2096,
100,183,7724,2135,
100,186,8051,2037,
100,192,8865,2162,
100,193,200,73,
100,193,9097,2427,
100,195,8302,2264,
100,201,6756,2111,
100,202,8647,2882,
100,209,9409,2940,
100,214,9042,2813,
100,221,8522,2388,
100,221,9202,2865,
100,222,9299,2830,
100,240,10150,3579,
100,240,14691,4962,
100,252,9527,3791,
100,255,9419,3029,
100,255,9698,3280,
100,258,8738,2900,
100,260,9126,3166,
100,262,9648,3123,
100,272,11556,4089,
100,274,9927,3551,
100,282,9102,3250,
100,286,10015,3604,
100,287,9593,3446,
100,290,9971,3788,
100,292,9517,3561,
100,295,10533,3629,
100,297,9777,3406,
100,305,9740,3711,
100,305,9460,3589,
100,307,9517,3547,
100,309,9392,3479,
100,315,9674,3595,
100,316,176,55,
100,323,9911,3801,
100,329,9639,3932,
100,331,10031,3643,
100,334,12950,5301,
100,336,9751,3894,
100,339,12013,5020,
100,340,9883,3902,
100,341,9961,4062,
100,344,9789,4082,
100,344,10327,4258,
100,345,9945,4046,
100,348,10461,4374,
100,350,10296,4693,
100,352,9519,3976,
100,355,9609,3902,
100,358,9881,4293,
100,361,10700,4273,
100,362,9709,3948,
100,372,9919,4587,
100,376,10120,3952,
100,377,10045,4527,
100,379,9991,4013,
100,388,10085,4375,
100,399,10366,4586,
100,400,10431,4552,
100,407,10411,4631,
100,407,10206,4629,
100,408,10453,5206,
100,417,10030,4954,
100,419,10148,4468,
100,419,10269,4431,
100,423,10048,4826,
100,431,10519,4931,
100,433,10606,11861,
100,436,10365,5769,
100,440,10606,5000,
100,441,10136,4789,
100,451,10018,4857,
100,452,10414,5365,
100,452,10248,5060,
100,457,9946,5115,
100,459,10537,4855,
100,466,10256,4638,
100,475,9978,5340,
100,477,10170,5354,
100,480,10064,5187,
100,480,10193,5237,
100,484,10602,5845,
100,487,10253,5123,
100,489,10158,5192,
100,489,10057,5169,
100,489,9972,5000,
100,494,10252,5104,
100,502,10206,5421,
100,504,10020,5871,
100,513,9940,5531,
100,515,11853,6505,
100,521,10241,5417,
100,527,10204,5510,
100,528,10334,5676,
100,531,10079,5530,
100,532,9993,5876,
100,537,10241,5725,
100,540,10509,5804,
100,540,17879,10398,
100,542,10212,6578,
100,545,10563,6061,
100,550,10338,5500,
100,552,10302,5763,
100,552,10590,5904,
100,559,10424,6747,
100,566,10503,6193,
100,566,10168,5799,
100,574,10424,5755,
100,576,10649,6108,
100,576,10417,6211,
100,579,10458,6093,
100,580,10569,6051,
100,581,10577,6256,
100,581,10380,6322,
100,584,10240,5899,
100,594,10400,6082,
100,597,10272,6430,
100,604,10271,5935,
100,605,10422,6221,
100,611,10528,7318,
100,613,10511,5900,
100,617,10100,5929,
100,620,13108,7979,
100,620,10616,6292,
100,625,10339,6052,
100,626,10271,6063,
100,629,10442,7012,
100,630,10483,6488,
100,630,10364,6554,
100,634,10410,6604,
100,637,11076,6765,
100,644,10272,6099,
100,655,10496,6357,
100,669,10186,6707,
100,670,10134,6911,
100,677,10482,6960,
100,678,10272,6215,
100,682,10205,6816,
100,689,11131,7789,
100,689,10390,6531,
100,691,10554,6730,
100,694,10225,7039,
100,708,10246,7020,
100,711,10620,6787,
100,718,10490,7268,
100,719,10417,7026,
100,720,10673,7627,
100,720,10483,6772,
100,722,10388,7076,
100,723,10185,7299,
100,723,10315,6871,
100,732,10343,7048,
100,732,10698,7972,
100,734,10282,7286,
100,736,10727,7231,
100,737,10317,7371,
100,742,10011,7059,
100,744,10529,7141,
100,752,10560,7737,
100,757,10484,7664,
100,766,10932,7175,
100,770,11054,8126,
100,771,10558,7024,
100,773,11037,7579,
100,777,10948,7831,
100,778,10521,8131,
100,779,10788,7743,
100,781,10874,7691,
100,781,11086,8003,
100,784,10562,7234,
100,785,10348,7500,
100,789,10390,7231,
100,797,10655,8315,
100,799,10326,7306,
100,800,11105,7559,
100,802,10491,7714,
100,809,10643,8038,
100,813,10421,7940,
100,816,11145,8023,
100,819,10549,7773,
100,823,10487,7796,
100,835,10458,7796,
100,836,10756,8275,
100,837,10909,8444,
100,841,10503,8233,
100,845,10478,8006,
100,847,10569,8132,
100,854,10553,8387,
100,856,10706,7577,
100,868,10696,8481,
100,869,10610,8772,
100,869,10734,8074,
100,873,10534,8010,
100,883,10518,8281,
100,883,10652,7528,
100,885,11128,8379,
100,889,10612,8297,
100,890,10307,8284,
100,902,11612,9639,
100,902,10605,8477,
100,905,10818,8576,
100,912,10626,8351,
100,913,10456,8101,
100,921,10799,8732,
100,922,10772,8688,
100,924,10335,8393,
100,925,10727,8333,
100,948,10615,8765,
100,949,11190,8880,
100,959,10779,9617,
100,963,10507,8698,
100,967,10731,8493,
100,969,10699,8381,
100,969,10847,9417,
100,970,10440,8720,
100,973,11158,10224,
100,974,10490,8759,
100,975,11003,9542,
100,976,10611,8652,
100,978,10774,8780,
100,982,10734,8962,
100,999,10812,9531,
100,1012,10703,9140,
100,1014,10751,9196,
100,1019,10660,9000,
100,1022,10586,9250,
100,1022,10641,9947,
100,1025,10849,9699,
100,1026,10878,9256,
100,1027,10621,9067,
100,1032,10482,9133,
100,1033,11656,9992,
100,1037,10905,8954,
100,1049,11090,9648,
100,1050,10714,9443,
100,1053,10701,9503,
100,1061,10427,9206,
100,1063,10635,9222,
100,1070,10721,8531,
100,1071,10841,10549,
100,1071,10701,9547,
100,1072,10841,9604,
100,1084,11141,10031,
100,1088,10823,9750,
100,1094,10718,9333,
100,1095,10565,9440,
100,1096,10612,9009,
100,1100,10664,10506,
100,1103,10802,9658,
100,1112,10668,9686,
100,1116,11040,9994,
100,1117,10763,9693,
100,1119,11052,9497,
100,1123,10651,10235,
100,1129,10965,9987,
100,1140,12079,11914,
100,1142,11062,9953,
100,1143,10830,10104,
100,1144,10880,10303,
100,1153,10871,10557,
100,1156,10964,10437,
100,1160,10779,10445,
100,1163,10726,9802,
100,1176,10599,9765,
100,1188,10843,10108,
100,1190,10630,10476,
100,1191,10707,10350,
100,1192,10955,10919,
100,1194,10851,10673,
100,1196,10888,10403,
100,1201,10993,10359,
100,1204,11069,10836,
100,1213,11088,10759,
100,1215,10919,10064,
100,1216,10625,9976,
100,1217,10897,10429,
100,1219,10864,10744,
100,1220,10670,10175,
100,1232,10905,9954,
100,1234,10775,10073,
100,1236,10994,10484,
100,1245,11303,11368,
100,1248,10889,10398,
100,1276,10812,10973,
100,1280,11095,11261,
100,1280,10749,11443,
100,1281,10886,10541,
100,1282,10873,10886,
100,1293,11305,11267,
100,1295,11084,10509,
100,1306,11127,10677,
100,1306,10767,10756,
100,1307,10931,10826,
100,1311,10801,10558,
100,1313,10725,10369,
100,1314,10778,11170,
100,1317,10790,10978,
100,1319,10971,11550,
100,1341,11067,11152,
100,1347,10939,11372,
100,1352,11139,11042,
100,1352,11262,12177,
100,1353,11135,11604,
100,1353,10618,10888,
100,1364,10911,11765,
100,1368,10775,11008,
100,1372,10770,11320,
100,1377,11534,12162,
100,1380,11094,11306,
100,1382,11012,11090,
100,1383,11023,11585,
100,1400,11100,12057,
100,1400,11045,11751,
100,1403,11023,11353,
100,1404,10896,11107,
100,1417,11081,11901,
100,1428,11069,11708,
100,1433,11171,11461,
100,1435,11348,11579,
100,1439,10993,12169,
100,1445,11746,12983,
100,1449,11168,11676,
100,1451,10779,11817,
100,1457,11093,11365,
100,1460,11108,12619,
100,1465,11019,11595,
100,1466,11055,12227,
100,1470,12282,12196,
100,1472,12256,13222,
100,1474,11019,12243,
